GEOID,max_predicted_time,mean_predicted_time,travel_speed,cons_time_100,cons_circuity_100,circuity,lat,lon,distance_to_fixed_point,stops_within_mbg,n_stops,med_inc,pct_white,pop
510131024001,21.222222222222225,21.017283950617287,7.158606598376359,0.17276958834642536,0.15321493241924972,0.6174377696858324,38.9482074601596,-77.06113109595523,5.12337330679415,"['57347', '59933', '61420', '61986', '62439']",5,,,
510131024002,23.19753086419753,21.679012345679013,6.924063031729492,0.13981710500149142,0.0702247615066644,0.576401598193521,38.9482074601596,-77.06113109595523,5.12337330679415,"['60333', '61514']",2,,,
510131024003,28.123456790123456,25.426611796982165,6.640660267363864,0.13862269784450845,0.13259196013875382,0.6021406823260042,38.9482074601596,-77.06113109595523,5.12337330679415,"['56382', '56518', '57185', '57850', '58481', '58621', '60250', '62394', '64570']",9,,,
510131024004,28.123456790123456,25.787037037037038,6.331366206608006,0.11822844163269358,0.12377863436123236,0.5845861799124505,38.9482074601596,-77.06113109595523,5.12337330679415,"['55248', '56058', '56129', '56744', '56960', '57205', '57558', '59102', '60315', '61157', '61401', '61482']",12,,,
510131025001,28.432098765432094,22.31275720164609,7.807390212598779,0.08454068752554877,0.46703343633741695,0.7306178120439222,38.9482074601596,-77.06113109595523,5.12337330679415,"['55714', '55721', '55725', '58172', '59364', '63209', '63572', '64454', '64519']",9,,,
510131025002,26.679012345679013,25.030864197530864,6.809309917075956,0.09976959456100222,0.16776300489190127,0.6221867162916577,38.9482074601596,-77.06113109595523,5.12337330679415,"['55251', '55489', '55760', '59372', '59374', '61071', '61251', '62975']",8,,,
510131025003,28.222222222222225,26.02880658436214,6.654553207362723,0.12719529929402398,0.0861269129483032,0.5998172490920922,38.9482074601596,-77.06113109595523,5.12337330679415,"['55718', '55723', '55874', '56554', '61417', '62749']",6,,,
510131026001,29.728395061728396,27.944444444444443,6.60925442671558,0.041446567067713956,0.13218060345889815,0.5943441007550754,38.9482074601596,-77.06113109595523,5.12337330679415,"['56087', '62484', '62755', '64113']",4,,,
510131027011,33.48148148148149,30.455555555555556,6.943443618679945,0.04345573978323552,0.0740941794577006,0.5966731681123771,38.9482074601596,-77.06113109595523,5.12337330679415,"['56113', '59327', '59365', '62777', '63007', '63090', '63401', '63480', '63496', '64012']",10,,,
510131027012,30.71604938271605,30.71604938271605,6.015313504823151,0.0222512926319975,0.0423167958903959,0.5672700672373439,38.9482074601596,-77.06113109595523,5.12337330679415,['64194'],1,,,
510131027021,34.01234567901235,31.537037037037038,6.993090859956222,0.030045407841967384,0.09884248381246284,0.615630900308246,38.9482074601596,-77.06113109595523,5.12337330679415,"['55083', '57382', '60140', '61691', '62723', '63249']",6,,,
510131027022,33.01234567901235,33.01234567901235,6.255235602094241,0.0602938251963807,0.0154362137561582,0.5786749428070869,38.9482074601596,-77.06113109595523,5.12337330679415,['60139'],1,,,
510131028021,44.04938271604939,39.24691358024692,7.117678222224166,0.18190688077955652,0.3260991916880812,0.7256415225146517,38.9482074601596,-77.06113109595523,5.12337330679415,"['56871', '57325', '57912', '59528', '63527']",5,,,
